name,price,status,shipping,free_returns,items_sold
Timbuk2 Command Laptop Messenger Bag Black Medium NYC Limited Edition,9995,Brand New,0,False,
Coach Addison Textured Brown Spectator Leather Laptop /Tote Bag 13207,14999,Pre-Owned,0,False,
ECOSUSI  Faux Leather Laptop Bag /Crossbody/Messenger Bag Navy Blue NwT,2800,Brand New,2661,False,
Genuine Men's Gucci Snap Flap Messenger Lap Top Bag Beige Coated Canvas Leather,55174,Pre-Owned,3373,False,
Nike Air Jordan 13 Retro Flu White Purple Lakers Laptop Backpack ,9999,Brand New,0,False,
Wxnow Women Laptop Shoulder Messenger Bag Handbag Briefcase Canvas Laptop Sle...,3634,Brand New,0,True,0
The North Face Purple Borealis Backpack Laptop Pocket School Travel Hike Camp,3999,Pre-Owned,1150,False,
Clearance Sale Gray Travel Backpack Rucksack Laptop School ,1695,Brand New,0,False,
"Used Men's PU Leather Business/College Laptop Handbag/Bag 17"" x 12"" x 4"" Black",2099,Pre-Owned,0,False,
"Used Men's Leather Business/College Laptop Handbag/Bag 17"" x 12"" x 5"" Black",1999,Pre-Owned,0,False,
Men's Genuine Vintage Leather Satchel Messenger Man Laptop Briefcase Bag,4930,Brand New,0,True,0
Anti-theft Backpack Business College Student School Laptop Bag USB Charge Port,1133,Brand New,0,True,
Dakine Trek 26L Laptop Backpack Tradesman New,6495,Brand New,0,True,
KINGSONS Mens Laptop Backpack Travel Bag Anti-Theft USB Charge Port Waterproof,3791,Brand New,0,True,
Bag Laptop Leather Messenger Briefcase Men's Satchel Shoulder Genuine Vintage ,4700,New (Other),0,True,
Bag Leather Briefcase Messenger Laptop Satchel Genuine Shoulder Mens Men Vintage,4700,New (Other),0,True,
